2013,2014,2015,2016,2017
,,"[(0, 0), (0, 0), (0, 0), (0, 0), (37, 32), (59, 52), (62, 61), (35, 45), (16, 24), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(0, 0), (2, 2), (6, 6), (16, 16), (19, 19), (53, 53), (68, 68), (66, 66), (10, 10), (2, 2)]"
,,"[(0, 0), (0, 0), (0, 0), (0, 0), (26, 0), (50, 50), (57, 57), (57, 57), (26, 26), (2, 2)]","[(0, 0), (6, 3), (8, 6), (18, 9), (33, 31), (50, 40), (60, 67), (35, 46), (8, 16), (0, 0)]","[(0, 0), (4, 4), (6, 5), (19, 12), (49, 35), (74, 64), (43, 56), (26, 34), (9, 19), (0, 0)]"
"[(0, 0), (1, 1), (0, 0), (4, 4), (5, 5), (13, 13), (11, 11), (8, 8), (5, 5), (0, 0)]","[(0, 0), (0, 0), (0, 0), (9, 0), (12, 10), (16, 13), (5, 12), (5, 5), (1, 4), (0, 0)]","[(0, 0), (0, 0), (4, 4), (3, 3), (4, 5), (2, 1), (16, 19), (12, 12), (13, 11), (4, 3)]","[(0, 0), (0, 0), (1, 1), (0, 0), (5, 5), (11, 11), (6, 6), (7, 7), (6, 6), (1, 1)]","[(0, 0), (0, 0), (0, 0), (0, 0), (5, 5), (5, 5), (14, 14), (10, 10), (7, 7), (0, 0)]"
,,"[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (3, 3), (10, 10), (15, 15), (4, 4), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(0, 0), (0, 0), (1, 1), (0, 0), (0, 0), (1, 1), (6, 6), (19, 19), (4, 4), (0, 0)]"
"[(0, 0), (3, 3), (4, 4), (4, 4), (5, 5), (7, 7), (13, 13), (15, 15), (13, 13), (8, 8)]","[(0, 0), (0, 0), (3, 2), (4, 3), (6, 3), (13, 16), (13, 9), (14, 17), (16, 19), (5, 5)]","[(1, 1), (1, 1), (1, 1), (3, 3), (12, 11), (15, 15), (19, 15), (12, 17), (12, 10), (4, 6)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(1, 1), (0, 0), (1, 1), (4, 4), (6, 6), (14, 14), (30, 30), (15, 15), (15, 15), (9, 9)]"
"[(0, 0), (0, 0), (0, 0), (1, 0), (2, 2), (10, 10), (17, 17), (15, 15), (10, 10), (4, 4)]","[(0, 0), (0, 0), (0, 0), (1, 0), (5, 5), (9, 9), (17, 17), (15, 15), (6, 6), (9, 9)]","[(0, 0), (1, 1), (0, 0), (0, 0), (4, 4), (11, 11), (14, 14), (21, 21), (17, 17), (6, 6)]","[(0, 0), (0, 0), (2, 2), (1, 1), (4, 4), (11, 11), (17, 17), (11, 11), (19, 19), (7, 7)]","[(0, 0), (0, 0), (3, 3), (3, 3), (3, 3), (13, 13), (17, 17), (20, 20), (15, 15), (16, 16)]"
,,"[(0, 0), (0, 0), (1, 1), (2, 2), (3, 3), (7, 7), (5, 5), (5, 5), (5, 5), (3, 3)]","[(0, 0), (0, 0), (0, 0), (1, 0), (6, 6), (8, 8), (8, 8), (12, 12), (4, 4), (4, 4)]","[(0, 0), (0, 0), (0, 0), (3, 3), (7, 3), (18, 5), (16, 13), (6, 22), (0, 5), (0, 0)]"
,,"[(0, 0), (1, 1), (0, 0), (0, 0), (1, 1), (1, 1), (4, 4), (6, 6), (2, 2), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (4, 4), (2, 2), (2, 2), (1, 1)]","[(0, 0), (0, 0), (0, 0), (0, 0), (13, 13), (13, 13), (26, 26), (26, 26), (40, 40), (26, 26)]"
,,,"[(0, 0), (0, 0), (0, 0), (2, 2), (4, 4), (13, 13), (12, 12), (12, 12), (12, 12), (9, 9)]","[(0, 0), (0, 0), (1, 1), (1, 1), (7, 7), (8, 8), (19, 19), (27, 27), (9, 9), (5, 5)]"
,,,"[(0, 0), (0, 0), (2, 2), (0, 0), (0, 0), (3, 3), (6, 6), (2, 2), (3, 3), (1, 1)]","[(0, 0), (0, 0), (0, 0), (1, 1), (1, 1), (6, 6), (0, 0), (2, 2), (0, 0), (0, 0)]"
"[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (11, 11), (75, 75), (76, 76), (7, 7), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (11, 11), (75, 75), (76, 76), (7, 7), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (3, 3), (13, 13), (63, 63), (62, 62), (12, 12), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (10, 10), (89, 89), (58, 58), (12, 12), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (7, 7), (72, 72), (44, 44), (2, 2), (0, 0)]"
,,,"[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(0, 0), (0, 0), (1, 1), (0, 0), (4, 4), (12, 12), (12, 12), (6, 6), (3, 3), (5, 5)]"
,,"[(0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (3, 3), (7, 7), (7, 7), (1, 1), (0, 0)]","[(0, 0), (0, 0), (0, 0), (1, 1), (0, 0), (1, 1), (0, 0), (2, 2), (4, 4), (2, 2)]","[(0, 0), (0, 0), (0, 0), (1, 1), (0, 0), (2, 2), (8, 8), (8, 8), (3, 3), (1, 1)]"
,,"[(0, 0), (3, 1), (6, 7), (20, 12), (27, 25), (32, 37), (44, 50), (29, 29), (28, 28), (10, 10)]","[(0, 0), (0, 0), (0, 0), (12, 0), (24, 24), (31, 31), (51, 51), (57, 57), (30, 30), (13, 13)]","[(0, 0), (0, 0), (0, 0), (7, 7), (18, 18), (29, 31), (47, 46), (50, 51), (35, 33), (14, 14)]"
,,"[(0, 0), (1, 1), (2, 2), (3, 3), (10, 10), (18, 18), (23, 23), (22, 22), (21, 21), (9, 9)]","[(0, 0), (0, 0), (0, 0), (1, 0), (11, 11), (15, 15), (32, 32), (24, 24), (19, 19), (13, 13)]","[(0, 0), (0, 0), (0, 0), (1, 1), (6, 6), (12, 12), (20, 20), (27, 27), (13, 13), (9, 9)]"
,,"[(0, 0), (0, 0), (3, 3), (5, 5), (24, 24), (40, 40), (73, 73), (56, 56), (29, 29), (6, 6)]","[(0, 0), (0, 0), (0, 0), (0, 0), (13, 13), (60, 60), (81, 81), (56, 56), (15, 15), (0, 0)]","[(0, 0), (0, 0), (4, 4), (5, 5), (8, 18), (25, 42), (43, 71), (67, 54), (61, 32), (21, 8)]"
,,"[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (20, 20), (24, 24), (25, 25), (18, 18), (2, 2)]","[(1, 1), (0, 0), (1, 1), (2, 2), (11, 11), (15, 15), (14, 14), (15, 15), (10, 10), (13, 13)]","[(0, 0), (0, 0), (0, 0), (0, 0), (7, 7), (11, 11), (23, 23), (22, 22), (22, 22), (7, 7)]"
,,"[(0, 0), (0, 0), (0, 0), (0, 0), (28, 0), (28, 33), (55, 68), (60, 56), (61, 46), (6, 5)]","[(0, 0), (0, 0), (11, 8), (17, 14), (25, 20), (37, 44), (44, 48), (47, 47), (30, 30), (9, 9)]","[(0, 0), (0, 0), (6, 6), (14, 14), (31, 31), (44, 44), (62, 62), (48, 48), (33, 33), (5, 5)]"
,,"[(0, 0), (0, 0), (0, 0), (0, 0), (28, 28), (59, 59), (62, 62), (44, 44), (21, 21), (5, 5)]","[(0, 0), (0, 0), (0, 0), (6, 6), (10, 10), (37, 45), (73, 87), (70, 64), (37, 26), (7, 2)]","[(0, 0), (0, 0), (0, 0), (4, 4), (24, 24), (36, 36), (68, 68), (68, 68), (35, 35), (3, 3)]"
,,,"[(0, 0), (1, 1), (0, 0), (0, 0), (2, 2), (2, 2), (4, 4), (7, 7), (7, 7), (1, 1)]","[(0, 0), (0, 0), (0, 0), (2, 2), (3, 3), (4, 4), (3, 3), (3, 3), (4, 4), (2, 2)]"
,,,"[(0, 0), (2, 2), (0, 0), (2, 2), (4, 4), (3, 3), (3, 3), (2, 2), (3, 3), (1, 1)]","[(0, 0), (0, 0), (10, 0), (31, 10), (31, 51), (82, 82), (20, 20), (20, 20), (0, 0), (10, 10)]"
,,"[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (30, 30), (66, 66), (19, 19), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (27, 27), (60, 60), (21, 21), (1, 1)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (26, 26), (73, 73), (24, 24), (0, 0)]"
,,,"[(0, 0), (0, 0), (0, 0), (2, 2), (2, 2), (13, 13), (8, 8), (12, 12), (2, 2), (1, 1)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (1, 3), (8, 9), (9, 8), (11, 9), (1, 1)]"
,,"[(0, 0), (0, 0), (0, 0), (20, 0), (33, 33), (46, 46), (41, 41), (32, 32), (19, 19), (1, 1)]","[(0, 0), (0, 0), (0, 0), (9, 0), (33, 33), (42, 42), (53, 53), (47, 47), (26, 26), (6, 6)]","[(0, 0), (0, 0), (0, 0), (14, 14), (27, 27), (50, 50), (49, 49), (32, 32), (18, 18), (3, 3)]"
,,"[(0, 0), (0, 0), (0, 0), (1, 1), (6, 6), (7, 8), (16, 15), (15, 18), (18, 16), (9, 8)]","[(0, 0), (0, 0), (2, 2), (0, 0), (7, 7), (12, 12), (8, 8), (20, 20), (20, 20), (9, 9)]","[(0, 0), (0, 0), (0, 0), (0, 0), (1, 1), (8, 8), (14, 14), (13, 13), (13, 13), (3, 3)]"
,,"[(0, 0), (0, 0), (0, 0), (1, 1), (2, 2), (1, 1), (2, 2), (9, 9), (8, 8), (1, 1)]","[(0, 0), (0, 0), (1, 1), (1, 1), (3, 3), (6, 6), (5, 5), (6, 6), (10, 10), (2, 2)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (4, 4), (7, 7), (12, 12), (7, 7), (2, 2)]"
,,,"[(0, 0), (0, 0), (0, 0), (4, 4), (4, 4), (15, 15), (96, 96), (91, 91), (22, 22), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 6), (0, 109), (0, 78), (23, 23), (0, 0)]"
"[(0, 0), (0, 0), (1, 1), (2, 2), (4, 4), (6, 6), (9, 9), (9, 9), (8, 8), (3, 3)]","[(0, 0), (0, 0), (0, 0), (1, 0), (1, 1), (2, 3), (12, 24), (12, 6), (9, 7), (6, 2)]","[(0, 0), (0, 0), (0, 0), (2, 2), (6, 6), (6, 6), (10, 10), (6, 6), (13, 13), (2, 2)]","[(0, 0), (0, 0), (1, 1), (2, 2), (4, 4), (6, 6), (5, 5), (5, 5), (11, 11), (2, 2)]","[(0, 0), (0, 0), (0, 0), (2, 2), (2, 2), (3, 3), (12, 12), (21, 21), (14, 14), (2, 2)]"
"[(0, 0), (0, 0), (2, 2), (3, 3), (5, 5), (7, 7), (1, 1), (9, 9), (2, 2), (1, 1)]","[(0, 0), (0, 0), (0, 0), (0, 0), (1, 1), (9, 9), (8, 8), (8, 8), (8, 8), (1, 1)]","[(0, 0), (0, 0), (0, 0), (2, 2), (2, 2), (5, 5), (3, 3), (3, 3), (5, 5), (3, 3)]","[(0, 0), (0, 0), (0, 0), (0, 0), (4, 4), (2, 2), (11, 11), (7, 7), (6, 6), (3, 3)]","[(0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (5, 6), (8, 13), (18, 14), (9, 9), (13, 11)]"
"[(0, 0), (0, 0), (2, 2), (3, 3), (5, 5), (8, 8), (1, 1), (9, 9), (2, 2), (3, 3)]","[(0, 0), (0, 0), (0, 0), (1, 1), (2, 2), (8, 8), (12, 12), (3, 3), (4, 4), (1, 1)]","[(0, 0), (0, 0), (1, 0), (0, 1), (6, 5), (8, 8), (9, 7), (6, 9), (2, 2), (0, 0)]","[(0, 0), (1, 1), (0, 0), (0, 0), (4, 4), (3, 3), (4, 4), (5, 5), (2, 2), (2, 2)]","[(0, 0), (1, 1), (0, 0), (1, 1), (2, 2), (6, 6), (7, 6), (7, 7), (3, 4), (1, 1)]"
"[(0, 0), (0, 0), (0, 0), (1, 1), (2, 2), (5, 5), (7, 7), (9, 9), (2, 2), (4, 4)]","[(0, 0), (0, 0), (0, 0), (0, 0), (1, 1), (4, 4), (1, 1), (9, 9), (4, 4), (0, 0)]","[(0, 0), (1, 1), (0, 0), (1, 1), (1, 1), (4, 4), (5, 5), (7, 7), (4, 4), (1, 1)]","[(0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (2, 2), (5, 5), (10, 10), (2, 2), (1, 1)]","[(0, 0), (1, 1), (0, 0), (0, 0), (1, 1), (2, 2), (3, 3), (12, 12), (8, 8), (1, 1)]"
"[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 4), (10, 41), (41, 53), (47, 3), (1, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (10, 10), (88, 88), (5, 5), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (41, 41), (67, 67), (8, 8), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (23, 23), (72, 72), (13, 13), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 25), (91, 86), (35, 15), (0, 0)]"
,,"[(0, 0), (0, 0), (0, 0), (1, 0), (26, 1), (56, 56), (71, 71), (68, 68), (18, 18), (0, 0)]","[(0, 0), (0, 0), (0, 0), (5, 0), (12, 12), (35, 35), (74, 74), (52, 52), (32, 32), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
"[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (3, 3), (12, 12), (9, 9), (5, 5), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (3, 3), (8, 8), (9, 9), (6, 6), (2, 2)]","[(0, 0), (0, 0), (0, 0), (0, 0), (4, 4), (5, 5), (19, 19), (9, 9), (3, 3), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (5, 5), (14, 14), (22, 22), (6, 6), (0, 0)]"
,,"[(0, 0), (0, 0), (1, 1), (1, 1), (7, 7), (6, 6), (12, 12), (20, 20), (14, 14), (3, 3)]","[(0, 0), (0, 0), (0, 0), (1, 1), (1, 1), (11, 11), (14, 14), (16, 16), (7, 7), (6, 6)]","[(0, 0), (0, 0), (0, 0), (3, 3), (4, 4), (10, 10), (22, 22), (20, 20), (14, 14), (6, 6)]"
,,"[(0, 0), (0, 0), (0, 0), (0, 0), (5, 9), (7, 24), (13, 57), (32, 17), (39, 1), (12, 0)]","[(0, 0), (0, 0), (0, 0), (2, 0), (8, 8), (20, 20), (25, 25), (26, 26), (7, 7), (1, 1)]","[(0, 0), (1, 1), (0, 0), (4, 4), (5, 5), (13, 13), (34, 34), (27, 27), (9, 9), (0, 0)]"
,,"[(0, 0), (0, 0), (0, 0), (1, 0), (31, 1), (35, 43), (44, 50), (64, 57), (53, 46), (7, 5)]","[(0, 0), (0, 0), (2, 2), (4, 4), (23, 23), (59, 59), (59, 59), (54, 54), (20, 20), (0, 0)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0)]"
"[(0, 0), (0, 0), (0, 0), (1, 1), (5, 5), (2, 2), (1, 1), (3, 3), (4, 4), (2, 2)]","[(0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 0), (0, 4), (5, 6), (5, 1), (3, 2)]","[(0, 0), (0, 0), (0, 0), (0, 0), (1, 1), (5, 5), (7, 7), (2, 2), (0, 0), (4, 4)]","[(0, 0), (0, 0), (0, 0), (0, 0), (2, 2), (2, 2), (2, 2), (1, 1), (6, 6), (3, 3)]","[(0, 0), (0, 0), (1, 1), (1, 1), (1, 1), (2, 2), (3, 3), (10, 10), (6, 6), (4, 4)]"
